pid,condition,ctrl,profile,profile_label,human,seg_order,segment,pos,first_seg,at1_pass,av1_pass,attention_pass,BEL1,NARS,GAAIS_pos,GAAIS_neg,GAAIS,SCM_comp,SCM_warm,PE,HM,BG_age,BG_gender,BG_freq_ai,BG_freq_robot,BG_freq_disability,mobile,dur_min,gate_open,watch_s,dwell_s,OH1,OH2,OH3,AU1,CR1,CR2,CR3,R1_CTRL,R1_AI,R1_ORG,R1_USER,R2_CTRL,R2_AI,R2_ORG,R2_USER,OH
d00970ec-7b89-4399-b158-59f07d4bec1b,H2,H,2.0,intellectual,1,O4,COL,2,REL,1,1,True,5.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,32.0,1.0,4.0,0.0,4.0,0,20.116666666666667,1,237.663,312.92,6.0,6.0,6.0,6.0,7.0,7.0,2.0,3.0,,2.0,1.0,1.0,,2.0,3.0,6.0
d00970ec-7b89-4399-b158-59f07d4bec1b,H2,H,2.0,intellectual,1,O4,ADV,3,REL,1,1,True,5.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,32.0,1.0,4.0,0.0,4.0,0,20.116666666666667,1,103.804,221.771,6.0,6.0,6.0,6.0,4.0,6.0,2.0,3.0,,2.0,1.0,3.0,,2.0,1.0,6.0
35057e43-6ca8-424f-b560-1a428ffe56c0,H1,H,1.0,no mention,1,O5,ADV,1,ADV,1,1,True,7.0,5.4,3.0,1.75,2.4444444444444446,2.6,2.25,2.25,1.6666666666666667,48.0,0.0,4.0,0.0,4.0,0,14.316666666666666,1,103.821,213.306,6.0,5.0,2.0,6.0,6.0,6.0,7.0,2.0,,3.0,1.0,1.0,,3.0,2.0,4.333333333333333
35057e43-6ca8-424f-b560-1a428ffe56c0,H1,H,1.0,no mention,1,O5,REL,2,ADV,1,1,True,7.0,5.4,3.0,1.75,2.4444444444444446,2.6,2.25,2.25,1.6666666666666667,48.0,0.0,4.0,0.0,4.0,0,14.316666666666666,1,79.062,152.217,7.0,3.0,2.0,5.0,6.0,5.0,7.0,1.0,,2.0,3.0,1.0,,2.0,3.0,4.0
35057e43-6ca8-424f-b560-1a428ffe56c0,H1,H,1.0,no mention,1,O5,COL,3,ADV,1,1,True,7.0,5.4,3.0,1.75,2.4444444444444446,2.6,2.25,2.25,1.6666666666666667,48.0,0.0,4.0,0.0,4.0,0,14.316666666666666,1,115.3,202.337,3.0,4.0,1.0,6.0,6.0,3.0,7.0,2.0,,3.0,1.0,2.0,,3.0,1.0,2.6666666666666665
8c01457f-fd4b-4cac-b1e8-df525cf494c8,A,A,,AI (no operator),0,O2,ADV,1,ADV,1,1,True,7.0,2.8,4.8,3.75,4.333333333333333,5.0,5.25,5.75,4.0,39.0,0.0,3.0,0.0,2.0,0,14.133333333333333,1,103.805,200.815,7.0,7.0,6.0,5.0,7.0,7.0,,,1.0,3.0,2.0,,2.0,3.0,1.0,6.666666666666667
8c01457f-fd4b-4cac-b1e8-df525cf494c8,A,A,,AI (no operator),0,O2,COL,2,ADV,1,1,True,7.0,2.8,4.8,3.75,4.333333333333333,5.0,5.25,5.75,4.0,39.0,0.0,3.0,0.0,2.0,0,14.133333333333333,1,115.261,198.874,6.0,6.0,6.0,3.0,5.0,6.0,,,1.0,2.0,3.0,,1.0,2.0,3.0,6.0
8c01457f-fd4b-4cac-b1e8-df525cf494c8,A,A,,AI (no operator),0,O2,REL,3,ADV,1,1,True,7.0,2.8,4.8,3.75,4.333333333333333,5.0,5.25,5.75,4.0,39.0,0.0,3.0,0.0,2.0,0,14.133333333333333,1,69.344,123.829,6.0,4.0,6.0,5.0,6.0,6.0,,,1.0,2.0,3.0,,1.0,2.0,3.0,5.333333333333333
32c0e1d1-7e14-4e7e-9a34-79c267424973,HA1,HA,1.0,no mention,1,O5,ADV,1,ADV,1,1,True,2.0,3.0,6.4,6.25,6.333333333333333,5.2,4.5,6.25,6.0,77.0,0.0,5.0,0.0,5.0,0,23.033333333333335,1,103.79,418.716,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,7.0
32c0e1d1-7e14-4e7e-9a34-79c267424973,HA1,HA,1.0,no mention,1,O5,REL,2,ADV,1,1,True,2.0,3.0,6.4,6.25,6.333333333333333,5.2,4.5,6.25,6.0,77.0,0.0,5.0,0.0,5.0,0,23.033333333333335,1,69.344,224.817,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,7.0
32c0e1d1-7e14-4e7e-9a34-79c267424973,HA1,HA,1.0,no mention,1,O5,COL,3,ADV,1,1,True,2.0,3.0,6.4,6.25,6.333333333333333,5.2,4.5,6.25,6.0,77.0,0.0,5.0,0.0,5.0,0,23.033333333333335,1,115.263,232.349,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,7.0
