dv,diff,ci_lo,ci_hi,d,d_lo,d_hi,p_raw,p_holm_4dv,participant_hc3_est,participant_hc3_p,independent_adjusted_est,independent_adjusted_p,bootstrap_p,original_adjusted_est,original_adjusted_p,randomization_p,refit_lmm_estimate,refit_lmm_p,refit_lmm_converged
OH,-0.0912065152196869,-0.3505875139564014,0.1681744835170276,-0.1013059691710707,-0.3735842182920802,0.1709722799499387,0.490698907486326,0.68454524930822,-0.09172430067708798,0.47361897965695066,0.0675071680449706,0.5530106094463827,0.4875,0.0749473808454198,0.5019887015841857,0.46849063018739623,-0.0912065152196869,0.49069890748632605,True
AU1,-0.2888480190470652,-0.6446657801646641,0.0669697420705336,-0.2407688840276673,-0.513759230787264,0.0322214627319293,0.1115867705007541,0.4463470820030166,-0.2861732832325884,0.07379527088888521,-0.08081744301495955,0.6197225926412187,0.066,-0.097183744398957,0.5702234934036715,0.08633827323453531,-0.28884801904706525,0.11158677050075416,True
CR1,-0.2133356374050901,-0.4776306873236923,0.050959412513512,-0.2466967250622515,-0.5197301442274948,0.0263366941029916,0.1136296360645152,0.4463470820030166,-0.21260142678211735,0.06617582559883169,-0.1709908608608001,0.1591063992297751,0.064,-0.1761343066907868,0.1655888646439213,0.0744985100297994,-0.21333563740509015,0.11362963606451529,True
CR2,-0.1102928913905965,-0.3379201545323019,0.1173343717511088,-0.1391148766410755,-0.4115289524582433,0.1332991991760921,0.34227262465411,0.68454524930822,-0.1103850133420482,0.317752403649152,-0.04105421685901007,0.7220470144961788,0.3195,-0.0340531167672764,0.754101562513487,0.3133737325253495,-0.11029289139059653,0.34227262465411,True
