dv,diff,ci_lo,ci_hi,p_boot
OH1,0.24849097023359157,-0.08833286474734021,0.5848226150572917,0.1455
OH2,0.38007636351667085,0.02992842520361834,0.7559471540143886,0.036
OH3,0.5606270732073018,-0.061849991222583445,1.1756592422073004,0.085
OH,0.3963981356525217,-0.019099682489178392,0.8261985580199367,0.0605
