dv,contrast,spec,diff,ci_lo,ci_hi,d,p_raw,n
AU1,C1 human-involved vs AI-only,participant means: Mann-Whitney,0.666666666666667,,,,0.023331810671082358,272
AU1,C2 H vs HA,participant means: Welch t,0.158192090395481,,,,0.31419304171613943,272
AU1,C2 H vs HA,participant means: Mann-Whitney,0.0,,,,0.26868638887194807,272
AU1,C3 disability disclosed vs no mention,participant means: Welch t,-0.2876745895613819,,,,0.07124784782565532,272
AU1,C3 disability disclosed vs no mention,participant means: Mann-Whitney,-0.33333333333333304,,,,0.09732507062541236,272
AU1,C4 intellectual vs mobility,participant means: Welch t,-0.2057613168724277,,,,0.30260386395206956,272
AU1,C4 intellectual vs mobility,participant means: Mann-Whitney,-0.3333333333333339,,,,0.3340615051596144,272
CR1,C1 human-involved vs AI-only,"sample: primary (AT1+AV1, n=272)",0.5035627164639158,0.1629857361476103,0.8441396967802213,0.5204417884815763,0.0037558281298934364,272
CR1,C2 H vs HA,"sample: primary (AT1+AV1, n=272)",0.013957188154965335,-0.23391008023027154,0.2618244565402022,0.016033145893908553,0.9121192129295745,272
CR1,C3 disability disclosed vs no mention,"sample: primary (AT1+AV1, n=272)",-0.21333563740509015,-0.47763068732369235,0.05095941251351205,-0.24669672506225152,0.11362963606451529,272
CR1,C4 intellectual vs mobility,"sample: primary (AT1+AV1, n=272)",-0.05578486554096301,-0.35774300335972625,0.24617327227780023,-0.061874952639627626,0.7172790489105321,272
CR1,C1 human-involved vs AI-only,sample: all completes (n=300),0.3946066650169349,0.08585098973593303,0.7033623402979368,0.409660491689306,0.012245577004070292,300
CR1,C2 H vs HA,sample: all completes (n=300),0.01839207059472662,-0.21818151587638318,0.2549656570658364,0.021011679210358892,0.8788893132738422,300
CR1,C3 disability disclosed vs no mention,sample: all completes (n=300),-0.20147243305208035,-0.45410950874294137,0.05116464263878068,-0.2314894572717268,0.11803935678741113,300
CR1,C4 intellectual vs mobility,sample: all completes (n=300),-0.03930724744678272,-0.32705805879096966,0.24844356389740424,-0.04340277116090072,0.7888999855706876,300
CR1,C1 human-involved vs AI-only,sample: primary minus 3x straightliners,0.511965564635802,0.16680668918413694,0.8571244400874671,0.5303509866594089,0.0036465758088882554,257
CR1,C2 H vs HA,sample: primary minus 3x straightliners,-0.006761327891444804,-0.2617819707365333,0.24825931495364373,-0.007793868574438991,0.9585564099428142,257
CR1,C3 disability disclosed vs no mention,sample: primary minus 3x straightliners,-0.22405615755061004,-0.4953169661423158,0.047204651041095724,-0.2601248092244675,0.10546406410608575,257
CR1,C4 intellectual vs mobility,sample: primary minus 3x straightliners,-0.10307122137617328,-0.41451412646087515,0.20837168370852857,-0.11481576431060647,0.5165601590517341,257
CR1,C1 human-involved vs AI-only,"adjusted for GAAIS_pos, NARS, SCM_warm, age",0.549695821705353,0.23557188626647535,0.8638197571442308,0.5830387993955611,0.0006038736949831056,271
CR1,C2 H vs HA,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.009935400842679146,-0.23660983619585968,0.21673903451050136,-0.011858449673339676,0.9315387163704564,271
CR1,C3 disability disclosed vs no mention,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.17613430669078683,-0.42512011416422485,0.07285150078265118,-0.21135497363441408,0.1655888646439213,271
CR1,C4 intellectual vs mobility,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.15385631816752163,-0.4292974996724842,0.12158486333744098,-0.17985806697768983,0.2735957105552669,271
CR1,C1 human-involved vs AI-only,participant means: Welch t,0.5026679221594472,,,,0.052345478117238955,272
CR1,C1 human-involved vs AI-only,participant means: Mann-Whitney,0.5,,,,0.09214104757590012,272
CR1,C2 H vs HA,participant means: Welch t,0.014124293785312325,,,,0.900932321691329,272
CR1,C2 H vs HA,participant means: Mann-Whitney,0.33333333333333304,,,,0.4351276666110827,272
CR1,C3 disability disclosed vs no mention,participant means: Welch t,-0.21272019385226937,,,,0.06542227514983491,272
CR1,C3 disability disclosed vs no mention,participant means: Mann-Whitney,-0.33333333333333304,,,,0.09826621719207143,272
CR1,C4 intellectual vs mobility,participant means: Welch t,-0.056346945235834056,,,,0.6934175361084856,272
CR1,C4 intellectual vs mobility,participant means: Mann-Whitney,0.0,,,,0.3785148551805322,272
CR2,C1 human-involved vs AI-only,"sample: primary (AT1+AV1, n=272)",0.22347995274829327,-0.06984603251833651,0.516805938014923,0.2684500944921972,0.1353613394824521,272
CR2,C2 H vs HA,"sample: primary (AT1+AV1, n=272)",-0.1367034952399857,-0.3501821356546235,0.07677514517465209,-0.17270190647312814,0.20943938455519562,272
CR2,C3 disability disclosed vs no mention,"sample: primary (AT1+AV1, n=272)",-0.11029289139059653,-0.33792015453230195,0.11733437175110886,-0.13911487664107555,0.34227262465411,272
CR2,C4 intellectual vs mobility,"sample: primary (AT1+AV1, n=272)",-0.0016364394413179717,-0.26170148612387856,0.2584286072412426,-0.002055402011794816,0.9901598192604285,272
CR2,C1 human-involved vs AI-only,sample: all completes (n=300),0.15767200314378288,-0.11165496653528573,0.4269989728228515,0.18794261001889692,0.25119891543988526,300
CR2,C2 H vs HA,sample: all completes (n=300),-0.134090720382931,-0.34045339563541055,0.0722719548695486,-0.16644872888420129,0.20281499135746994,300
CR2,C3 disability disclosed vs no mention,sample: all completes (n=300),-0.11324386942665374,-0.33361869480427997,0.1071309559509725,-0.1403888009056204,0.31384639108529067,300
CR2,C4 intellectual vs mobility,sample: all completes (n=300),0.031352282515072744,-0.21965218556957197,0.28235675059971743,0.03845765356487241,0.8065971651378345,300
CR2,C1 human-involved vs AI-only,sample: primary minus 3x straightliners,0.23231261447201978,-0.06514224403719437,0.5297674729812339,0.2793589616900879,0.12582811610585096,257
CR2,C2 H vs HA,sample: primary minus 3x straightliners,-0.17323910597912096,-0.3930136348396356,0.04653542288139367,-0.21941217139754005,0.12234956448844726,257
CR2,C3 disability disclosed vs no mention,sample: primary minus 3x straightliners,-0.10626080802152882,-0.3400309677288672,0.1275093516858096,-0.13403829575166934,0.3729705452611959,257
CR2,C4 intellectual vs mobility,sample: primary minus 3x straightliners,-0.02595215184224675,-0.2943508860322404,0.2424465823477469,-0.03262670634848012,0.849687355931772,257
CR2,C1 human-involved vs AI-only,"adjusted for GAAIS_pos, NARS, SCM_warm, age",0.24434109969841353,-0.02448291272190431,0.5131651121187314,0.2948185995074358,0.0748316687101314,271
