condition,1,2,3,p_human_x_pos,p_ctrl_x_pos,p_profile_x_pos
H1,5.82,5.67,6.13,0.5141802541628537,0.6173671348681271,0.060654435050097044
H2,5.74,5.64,5.85,0.5141802541628537,0.6173671348681271,0.060654435050097044
H3,5.82,5.95,5.52,0.5141802541628537,0.6173671348681271,0.060654435050097044
HA1,6.05,5.97,5.97,0.5141802541628537,0.6173671348681271,0.060654435050097044
HA2,6.0,5.95,5.77,0.5141802541628537,0.6173671348681271,0.060654435050097044
HA3,5.85,5.88,5.93,0.5141802541628537,0.6173671348681271,0.060654435050097044
A,5.67,5.53,5.72,0.5141802541628537,0.6173671348681271,0.060654435050097044
