clip,share_blame,share_credit,blame_only,credit_only,p_mcnemar_exact
REL,0.6101694915254238,0.5508474576271186,14,7,0.18924713134765625
ADV,0.5423728813559322,0.4915254237288136,11,5,0.210113525390625
COL,0.5084745762711864,0.4745762711864407,12,8,0.5034446716308594
