dv,mean_disclosed,mean_none,diff,ci_lo,ci_hi,d,p_ols_hc3,p_welch
OH,5.658280922431866,5.692640692640692,-0.030007746418566933,-0.29887458479687923,0.2388590919597454,-0.036469063967101506,0.8268463004881182,0.8014805559180855
AU1,5.182389937106918,5.324675324675325,-0.15566761246084765,-0.5435927678443735,0.23225754292267825,-0.0967026311873352,0.4315749522890697,0.46861418338950034
CR1,5.509433962264151,5.6103896103896105,-0.11568278777548952,-0.3903175288395871,0.15895195328860806,-0.10051683676531478,0.40904001194342043,0.46662884003652005
CR2,5.855345911949685,5.935064935064935,-0.08578954084224695,-0.3530951148925052,0.18151603320801135,-0.08408149279551268,0.5293265137099628,0.5550960607254078
CR3,5.723270440251572,5.8311688311688314,-0.0956215611795346,-0.4486472716568327,0.25740414929776356,-0.0808626741736961,0.5955009036434407,0.5514475941407856
