spec,diff,ci_lo,ci_hi,p,n
"OLS, disab + ctrl",-0.3984643032184284,-0.8264808330648801,0.029552226628023315,0.06790462532322199,236
"OLS + covariates (GAAIS, NARS, SCM_warm, age)",-0.2124249360072172,-0.5851504849662482,0.16030061295181378,0.2626228986635014,235
within H only: disclosed vs none (Welch),-0.11176025100075648,,,0.6934220303875713,118
within HA only: disclosed vs none (Welch),-0.689035087719299,,,0.021882688846582093,118
Mann-Whitney,-0.3333333333333339,,,0.09607568923155438,236
participant bootstrap (equal-weight cells),-0.39926530287570117,-0.8045437818181311,0.0023160394243113922,0.0535,236
