dv,analysis,interaction,p,diff_low_belief,p_low,diff_high_belief,p_high
OH,human x BEL1 interaction,-0.21049894971957284,0.07275510909032568,0.8329818812082519,0.0011730410135317754,0.1911463777735513,0.3808990484991449
AU1,human x BEL1 interaction,-0.2744905577881766,0.10039790494625778,1.3724713784118947,0.00017485133342117322,0.5355181034394991,0.0849065147537114
CR1,human x BEL1 interaction,-0.2622492548557955,0.03620309632223562,1.013071505914095,0.00021365270543934064,0.21344337123702367,0.3587268573166572
CR2,human x BEL1 interaction,-0.2828642870330892,0.008560061071535063,0.7609541970520497,0.0011799026307155948,-0.10153154130172792,0.6105916912955369
