dv,p_disab_x_clip,diff_REL,p_REL,diff_ADV,p_ADV,diff_COL,p_COL,int_BG_freq_disability,p_BG_freq_disability,disab_effect_low_BG_freq_disability,p_low_BG_freq_disability,disab_effect_high_BG_freq_disability,p_high_BG_freq_disability,int_SCM_warm,p_SCM_warm,disab_effect_low_SCM_warm,p_low_SCM_warm,disab_effect_high_SCM_warm,p_high_SCM_warm,int_SCM_comp,p_SCM_comp,disab_effect_low_SCM_comp,p_low_SCM_comp,disab_effect_high_SCM_comp,p_high_SCM_comp
OH,0.5878557039865859,-0.1243431620790112,0.39757448321562305,-0.0172071115467336,0.901176264118798,-0.13147648996705552,0.37796747713790246,-0.004784539586706066,0.9518555417646715,-0.08513694763792512,0.6247420664029006,-0.09973241204310254,0.5668001000186313,0.05861900498469227,0.6136156542371206,-0.12300625739391902,0.4531127496637928,-0.007456982544200665,0.9641111191662056,-0.15353533268767877,0.19554431791886362,0.11994376283540205,0.4942807298213876,-0.1915645909679981,0.25696645895385606
AU1,0.7767857924162761,-0.3608592665196433,0.05876124849301824,-0.25051049579351403,0.15576419907563346,-0.25165400637098756,0.18634709202630267,0.04028646573642656,0.7018556145412382,-0.3486039932302427,0.13145284873653063,-0.22570822321714,0.3289424696058668,0.1765915059503037,0.2649497811630258,-0.4309549529327288,0.05381017349654185,-0.08285930609420145,0.7137674101574532,-0.110879406252624,0.48675707420805936,-0.11260676076219849,0.6334745924742728,-0.33757036169902155,0.1377090026661498
CR1,0.06768823045417838,-0.2306624193416651,0.0701094059159531,-0.08110757167360916,0.5753202148244789,-0.32639059054153385,0.014223548433008692,0.06416918953799444,0.3993177685529842,-0.3111140921123588,0.0626213240871131,-0.11536294305442546,0.4901186282467873,0.08531715786588052,0.4492236373371402,-0.27280111999315004,0.0865564417719894,-0.10462467745176202,0.5155182516373066,0.05918314250221778,0.6071052355892692,-0.23314585937795,0.1715468030747358,-0.11306898214682778,0.49110836883486286
CR2,0.0804709485898768,-0.2322960058809116,0.06594389949203962,0.04100302213509721,0.7748674779341835,-0.13591440006534405,0.2839858649021016,0.06306081563554489,0.3624954282291858,-0.20723547743957826,0.17266981169556106,-0.014865475417355292,0.9221062436251255,0.006359940237677021,0.9499230877462358,-0.09283197874819017,0.5163877948987363,-0.08029531964346752,0.5786971729279904,-0.10420076491509664,0.3153307403908051,0.04612256512689852,0.7640086285909682,-0.16529071789757444,0.26389252782670847
CR3,0.2542394691909404,-0.2850608510985868,0.05531708322093858,-0.062076288491383025,0.714376241003365,-0.16049987748100936,0.2475900428941306,-0.06358367254193678,0.48074222351373896,-0.0683733750705546,0.7297961550003467,-0.26233837682638783,0.18526660230626135,0.1256078555892974,0.3584793125396445,-0.27185790025876805,0.1590741426689557,-0.024260783375572803,0.901058164417464,-0.18638718382957337,0.17295400670330507,0.05315749449903026,0.7927204184638044,-0.325004090775351,0.09524730777106127
