dv,p_disab_x_pos,eff_pos1,p_pos1,eff_pos2,p_pos2,eff_pos3,p_pos3
OH,0.026264647669341,-0.03429823080106941,0.811385372480533,0.03649758451026607,0.799514134976363,-0.2773722557404015,0.053618840598285394
AU1,0.3638517885024307,-0.15404448263735127,0.4212707444393363,-0.3341381212500729,0.08104258641519242,-0.37033724581037997,0.05318359721193492
CR1,0.3213070452933303,-0.11039106929695207,0.42474844753147,-0.2636351669966188,0.05658041455303112,-0.26377804405296956,0.05647862843920523
CR2,0.033433305753658105,-0.08282769603475676,0.527552233390068,0.03497456467041306,0.7896203263005066,-0.2833019086617281,0.030708669916142035
CR3,0.07064520744427227,-0.0994121072183781,0.5356604098379085,-0.0554973923219706,0.7294764159035766,-0.3410878865076271,0.033572888127168535
