dv,n_units,BF01,BF01_rows
OH,236,11.707713486951516,20.278354599858808
AU1,236,3.4782430432942513,6.02449367206428
CR1,236,3.194110867483642,5.532362307485632
CR2,236,9.226835933329113,15.981348548887912
CR3,236,7.642053775601006,13.236425566856246
PE,236,9.631058045445714,
HM,236,2.8302303672113447,
