dv,sd_H,sd_HA,sd_A,levene_p
OH,0.9405304355005404,0.8587558531765255,1.2183641207403584,0.013937658415453316
AU1,1.190936012132999,1.2183012977316672,1.8830910084304868,0.0020892612277036435
CR1,0.9740958953150316,0.7528282448111222,1.4680609053678557,0.00014973479546439867
CR2,0.8962510199918953,0.6707166086133605,1.0612212192518937,0.0023933712417068824
