actor,question,group_A,group_B,share_A,share_B,OR,ci_lo,ci_hi,p
CTRL,responsibility,H,HA,0.7231638418079096,0.6073446327683616,0.5945917263769319,0.3810298216106411,0.927852102445587,0.022033995583047982
CTRL,credit,H,HA,0.711864406779661,0.6016949152542372,0.6140189424297009,0.39329348390637314,0.9586206664747108,0.03188115545553124
AI,responsibility,HA,A,0.519774011299435,0.5740740740740741,1.2427872593532743,0.6878668266605572,2.2453767388509336,0.47140093542651695
AI,credit,HA,A,0.4887005649717514,0.6018518518518519,1.5957928560001684,0.8592405519049883,2.9637274842479306,0.1389613406530185
