dv,n_rows,n_participants,var_participant,var_residual,icc,resid_skew,resid_kurtosis,p_condition_omnibus,p_clip,p_position
OH,816,272,0.7766889421520801,0.3948350510954165,0.6629731415052602,-0.6950928532534056,2.121672172423131,0.325922858271259,3.072253562663718e-10,0.6448021614256303
AU1,816,272,1.4847006787205397,0.6736828409361152,0.687876211618183,-0.49328582772140356,1.6349196117537597,0.004213181821174139,4.2687838464061656e-07,4.982101398098848e-08
CR1,816,272,0.8227187176858775,0.36097193274406697,0.6950453797933155,-0.3525177996771018,2.97271070100331,0.07508532360329712,1.3036026599300143e-05,1.3233623086250645e-09
CR2,816,272,0.5554768940576301,0.4321376030901257,0.5624430338576996,-0.8405201408000631,2.58456723329856,0.5724002268178985,0.07350700194968618,0.6515009800452238
OH1,816,272,0.5260195708302802,0.5498204059515489,0.48893848730530337,-0.9651864534226442,2.445398006099592,0.7375823846177758,7.402764247177451e-05,0.6910004816252331
OH2,816,272,0.48999775644329996,0.728092278047106,0.40226727300030246,-0.9582291006158434,1.9989905842038285,0.3221340484004269,1.1102230246251565e-16,0.27569654210276684
OH3,816,272,2.096537469970838,0.6011218368134381,0.7771691053419193,-0.41243261383028457,4.157945274454539,0.31616018667493107,8.732237515496344e-05,0.9564362277483294
CR3,708,236,0.8784262969253089,0.4691050835172144,0.651878174916296,-1.059179543171883,4.866439950668956,0.041331556928910995,0.18112246783738306,1.3534794943259598e-05
